2025-04-04T01:01:44.534Z-04:00 | INFO | {request_id=21791, questions={requestName=alt7-mtalk.google.com, request_type=AAAA}, answers=[{resolvedAddress=alt7-mtalk.google.com, resolvedType=CNAME}, {resolvedAddress=2404:6800:4003:c00::bc, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=490 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:44.534Z-04:00 | INFO | {request_id=23176, questions={requestName=android.bugly.qq.com, request_type=AAAA}, answers=[{resolvedAddress=android.bugly.qq.com, resolvedType=CNAME}, {resolvedAddress=240e:97c:2f:2::4a, resolvedType=AAAA}, {resolvedAddress=240e:97c:2f:1::9f, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=490 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:44.640Z-04:00 | INFO | {request_id=9821, questions={requestName=alt7-mtalk.google.com, request_type=A}, answers=[{resolvedAddress=alt7-mtalk.google.com, resolvedType=CNAME}, {resolvedAddress=74.125.200.188, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=48 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:44.681Z-04:00 | INFO | {request_id=7664, questions={requestName=android.bugly.qq.com, request_type=A}, answers=[{resolvedAddress=android.bugly.qq.com, resolvedType=CNAME}, {resolvedAddress=14.22.7.140, resolvedType=A}, {resolvedAddress=119.147.179.152, resolvedType=A}, {resolvedAddress=14.22.7.199, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=92 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:47.019Z-04:00 | INFO | {request_id=13212, questions={requestName=www.googleapis.com, request_type=AAAA}, answers=[{resolvedAddress=2607:f8b0:4006:80b::200a, resolvedType=AAAA}, {resolvedAddress=2607:f8b0:4006:80d::200a, resolvedType=AAAA}, {resolvedAddress=2607:f8b0:4006:80c::200a, resolvedType=AAAA}, {resolvedAddress=2607:f8b0:4006:81c::200a, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=122 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:47.069Z-04:00 | INFO | {request_id=25986, questions={requestName=www.googleapis.com, request_type=A}, answers=[{resolvedAddress=142.250.81.234, resolvedType=A}, {resolvedAddress=142.250.72.106, resolvedType=A}, {resolvedAddress=142.251.35.170, resolvedType=A}, {resolvedAddress=142.251.41.10, resolvedType=A}, {resolvedAddress=142.251.40.234, resolvedType=A}, {resolvedAddress=142.250.65.234, resolvedType=A}, {resolvedAddress=142.251.32.106, resolvedType=A}, {resolvedAddress=142.250.65.170, resolvedType=A}, {resolvedAddress=142.251.40.202, resolvedType=A}, {resolvedAddress=172.217.165.138, resolvedType=A}, {resolvedAddress=142.250.65.202, resolvedType=A}, {resolvedAddress=142.250.80.42, resolvedType=A}, {resolvedAddress=142.250.176.202, resolvedType=A}, {resolvedAddress=142.251.40.106, resolvedType=A}, {resolvedAddress=142.250.80.74, resolvedType=A}, {resolvedAddress=142.250.80.106, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=29 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:47.863Z-04:00 | INFO | {request_id=3972, questions={requestName=connectivity.cloudflareclient.com, request_type=AAAA}, answers=[{resolvedAddress=2606:4700:7::a29f:8a41, resolvedType=AAAA}, {resolvedAddress=2606:4700:7::a29f:8941, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=43 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:47.915Z-04:00 | INFO | {request_id=4010, questions={requestName=connectivity.cloudflareclient.com, request_type=A}, answers=[{resolvedAddress=162.159.137.65, resolvedType=A}, {resolvedAddress=162.159.138.65, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=32 ms, resolver_address=162.159.36.1}
2025-04-04T01:01:52.843Z-04:00 | INFO | {request_id=20198, questions={requestName=cp.cloudflare.com, request_type=AAAA}, answers=[{resolvedAddress=2606:4700::6810:84e5, resolvedType=AAAA}, {resolvedAddress=2606:4700::6810:85e5, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=fallback, resolving_time=249 ms, resolver_address=/2001:558:feed::2}
2025-04-04T01:01:52.857Z-04:00 | INFO | {request_id=20198, questions={requestName=cp.cloudflare.com, request_type=AAAA}, answers=[{resolvedAddress=2606:4700::6810:84e5, resolvedType=AAAA}, {resolvedAddress=2606:4700::6810:85e5, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=298 ms, resolver_address=/2001:558:feed::2}
2025-04-04T01:01:53.063Z-04:00 | INFO | {request_id=5483, questions={requestName=cp.cloudflare.com, request_type=A}, answers=[{resolvedAddress=104.16.132.229, resolvedType=A}, {resolvedAddress=104.16.133.229, resolvedType=A}], response_code=NO_ERROR, resolver_type=fallback, resolving_time=183 ms, resolver_address=/2001:558:feed::2}
